x,y,V,t
1816.77,1691.05,289.974,5.68
1819.02,1692.88,289.666,5.69
1821.26,1694.71,289.358,5.7
1823.5,1696.54,289.05,5.71
1825.74,1698.36,288.744,5.72
1827.98,1700.19,288.437,5.73
1830.22,1702.01,288.133,5.74
1832.45,1703.83,287.829,5.75
1834.69,1705.64,287.525,5.76
1836.92,1707.46,287.222,5.77
1839.15,1709.27,286.92,5.78
1841.37,1711.08,286.618,5.79
1843.6,1712.88,286.317,5.8
1845.82,1714.69,286.016,5.81
1848.05,1716.49,285.716,5.82
1850.27,1718.29,285.416,5.83
1852.48,1720.08,285.117,5.84
1854.7,1721.88,284.818,5.85
1856.91,1723.67,284.52,5.86
1859.13,1725.46,284.222,5.87
1861.34,1727.24,283.925,5.88
1863.55,1729.03,283.628,5.89
1865.75,1730.81,283.332,5.9
1867.96,1732.59,283.036,5.91
1870.16,1734.36,282.741,5.92
1872.36,1736.14,282.446,5.93
1874.56,1737.91,282.152,5.94
1876.76,1739.68,281.858,5.95
1878.96,1741.44,281.565,5.96
1881.15,1743.21,281.273,5.97
1883.35,1744.97,280.98,5.98
1885.54,1746.73,280.689,5.99
1887.73,1748.49,280.398,6
1889.91,1750.24,280.107,6.01
1892.1,1751.99,279.818,6.02
1894.28,1753.74,279.529,6.03
1896.46,1755.49,279.241,6.04
1898.64,1757.23,278.954,6.05
1900.82,1758.98,278.667,6.06
1903,1760.72,278.38,6.07
1905.17,1762.46,278.094,6.08
1907.35,1764.19,277.809,6.09
1909.52,1765.92,277.524,6.1
1911.69,1767.65,277.239,6.11
1913.86,1769.38,276.955,6.12
1916.02,1771.11,276.671,6.13
1918.19,1772.83,276.388,6.14
1920.35,1774.55,276.105,6.15
1922.51,1776.27,275.823,6.16
1924.67,1777.99,275.541,6.17
1926.83,1779.7,275.26,6.18
1928.98,1781.41,274.979,6.19
1931.13,1783.12,274.699,6.2
1933.29,1784.83,274.419,6.21
1935.44,1786.53,274.139,6.22
1937.59,1788.24,273.86,6.23
1939.73,1789.94,273.582,6.24
1941.88,1791.63,273.304,6.25
1944.02,1793.33,273.026,6.26
1946.16,1795.02,272.749,6.27
1948.3,1796.71,272.472,6.28
1950.44,1798.4,272.196,6.29
1952.58,1800.09,271.92,6.3
1954.72,1801.77,271.646,6.31
1956.85,1803.45,271.373,6.32
1958.98,1805.13,271.099,6.33
1961.11,1806.81,270.826,6.34
1963.24,1808.48,270.554,6.35
1965.37,1810.16,270.282,6.36
1967.49,1811.83,270.011,6.37
1969.62,1813.49,269.739,6.38
1971.74,1815.16,269.469,6.39
1973.86,1816.82,269.199,6.4
1975.98,1818.48,268.929,6.41
1978.09,1820.14,268.66,6.42
1980.21,1821.8,268.391,6.43
1982.32,1823.45,268.122,6.44
1984.43,1825.1,267.854,6.45
1986.54,1826.75,267.587,6.46
1988.65,1828.4,267.32,6.47
1990.76,1830.05,267.053,6.48
1992.87,1831.69,266.787,6.49
1994.97,1833.33,266.521,6.5
1997.07,1834.97,266.256,6.51
1999.17,1836.6,265.991,6.52
2001.27,1838.24,265.726,6.53
2003.37,1839.87,265.462,6.54
2005.46,1841.5,265.199,6.55
2007.56,1843.13,264.935,6.56
2009.65,1844.75,264.673,6.57
2011.74,1846.37,264.41,6.58
2013.83,1847.99,264.148,6.59
2015.92,1849.61,263.887,6.6
2018,1851.23,263.626,6.61
2020.09,1852.84,263.366,6.62
2022.17,1854.45,263.107,6.63
2024.25,1856.06,262.848,6.64
2026.33,1857.67,262.589,6.65
2028.41,1859.28,262.331,6.66
2030.49,1860.88,262.074,6.67
2032.56,1862.48,261.817,6.68
2034.64,1864.08,261.56,6.69
2036.71,1865.67,261.303,6.7
2038.78,1867.27,261.047,6.71
2040.85,1868.86,260.792,6.72
2042.92,1870.45,260.537,6.73
2044.98,1872.04,260.282,6.74
2047.05,1873.62,260.028,6.75
2049.11,1875.21,259.774,6.76
2051.17,1876.79,259.52,6.77
2053.23,1878.37,259.267,6.78
2055.29,1879.94,259.014,6.79
2057.34,1881.52,258.762,6.8
2059.4,1883.09,258.51,6.81
2061.45,1884.66,258.258,6.82
2063.5,1886.23,258.007,6.83
2065.55,1887.79,257.756,6.84
2067.6,1889.36,257.506,6.85
2069.65,1890.92,257.256,6.86
2071.7,1892.48,257.007,6.87
2073.74,1894.04,256.757,6.88
2075.78,1895.59,256.509,6.89
2077.83,1897.15,256.26,6.9
2079.87,1898.7,256.012,6.91
2081.9,1900.25,255.765,6.92
2083.94,1901.79,255.518,6.93
2085.98,1903.34,255.272,6.94
2088.01,1904.88,255.027,6.95
2090.04,1906.42,254.782,6.96
2092.07,1907.96,254.537,6.97
2094.1,1909.5,254.293,6.98
2096.13,1911.03,254.049,6.99
2098.16,1912.56,253.805,7
2100.18,1914.09,253.562,7.01
2102.21,1915.62,253.319,7.02
2104.23,1917.15,253.076,7.03
2106.25,1918.67,252.834,7.04
2108.27,1920.19,252.593,7.05
2110.28,1921.71,252.351,7.06
2112.3,1923.23,252.11,7.07
2114.32,1924.74,251.87,7.08
2116.33,1926.26,251.629,7.09
2118.34,1927.77,251.389,7.1
2120.35,1929.28,251.15,7.11
2122.36,1930.79,250.911,7.12
2124.37,1932.29,250.672,7.13
2126.37,1933.79,250.434,7.14
2128.38,1935.29,250.196,7.15
2130.38,1936.79,249.958,7.16
2132.38,1938.29,249.721,7.17
2134.38,1939.79,249.484,7.18
2136.38,1941.28,249.247,7.19
2138.38,1942.77,249.011,7.2
2140.38,1944.26,248.775,7.21
2142.37,1945.74,248.539,7.22
2144.36,1947.23,248.304,7.23
2146.36,1948.71,248.07,7.24
2148.35,1950.19,247.835,7.25
2150.34,1951.67,247.602,7.26
2152.32,1953.15,247.369,7.27
2154.31,1954.62,247.137,7.28
2156.29,1956.09,246.905,7.29
2158.28,1957.56,246.673,7.3
2160.26,1959.03,246.441,7.31
2162.24,1960.5,246.21,7.32
2164.22,1961.96,245.979,7.33
2166.2,1963.43,245.749,7.34
2168.17,1964.89,245.519,7.35
2170.15,1966.35,245.289,7.36
2172.12,1967.8,245.06,7.37
2174.09,1969.26,244.831,7.38
2176.07,1970.71,244.602,7.39
2178.04,1972.16,244.374,7.4
2180,1973.61,244.146,7.41
2181.97,1975.05,243.919,7.42
2183.94,1976.5,243.691,7.43
2185.9,1977.94,243.464,7.44
2187.86,1979.38,243.238,7.45
2189.82,1980.82,243.011,7.46
2191.78,1982.26,242.786,7.47
2193.74,1983.69,242.56,7.48
2195.7,1985.12,242.335,7.49
2197.66,1986.56,242.11,7.5
2199.61,1987.98,241.885,7.51
2201.56,1989.41,241.661,7.52
2203.52,1990.84,241.437,7.53
2205.47,1992.26,241.214,7.54
2207.42,1993.68,240.99,7.55
2209.36,1995.1,240.767,7.56
2211.31,1996.52,240.545,7.57
2213.25,1997.93,240.323,7.58
2215.2,1999.34,240.101,7.59
2217.14,2000.75,239.879,7.6
2219.08,2002.16,239.659,7.61
2221.02,2003.57,239.439,7.62
2222.96,2004.98,239.219,7.63
2224.9,2006.38,238.999,7.64
2226.83,2007.78,238.78,7.65
2228.77,2009.18,238.561,7.66
2230.7,2010.58,238.343,7.67
2232.63,2011.97,238.125,7.68
2234.56,2013.37,237.907,7.69
2236.49,2014.76,237.689,7.7
2238.42,2016.15,237.472,7.71
2240.35,2017.54,237.255,7.72
2242.27,2018.92,237.039,7.73
2244.2,2020.31,236.822,7.74
2246.12,2021.69,236.606,7.75
2248.04,2023.07,236.391,7.76
2249.96,2024.45,236.176,7.77
2251.88,2025.83,235.961,7.78
2253.8,2027.2,235.746,7.79
2255.72,2028.57,235.532,7.8
2257.63,2029.94,235.317,7.81
2259.55,2031.31,235.104,7.82
2261.46,2032.68,234.89,7.83
2263.37,2034.05,234.677,7.84
2265.28,2035.41,234.464,7.85
2267.19,2036.77,234.252,7.86
2269.1,2038.13,234.04,7.87
2271,2039.49,233.828,7.88
2272.91,2040.84,233.616,7.89
2274.81,2042.2,233.405,7.9
2276.72,2043.55,233.194,7.91
2278.62,2044.9,232.983,7.92
2280.52,2046.25,232.773,7.93
2282.42,2047.59,232.563,7.94
2284.31,2048.94,232.353,7.95
2286.21,2050.28,232.144,7.96
2288.1,2051.62,231.935,7.97
2290,2052.96,231.727,7.98
2291.89,2054.3,231.52,7.99
2293.78,2055.63,231.312,8
2295.67,2056.97,231.105,8.01
2297.56,2058.3,230.898,8.02
2299.45,2059.63,230.692,8.03
2301.34,2060.96,230.485,8.04
